pin_pis	region	pop	species
0.0796988545064495	DNABD	YRI	H. sapiens
0.0491872431475216	DNABD	YRI	H. sapiens
0.0873718952021491	DNABD	YRI	H. sapiens
0.114040528748853	DNABD	YRI	H. sapiens
0.134099624702564	DNABD	YRI	H. sapiens
0.0944718408239589	DNABD	YRI	H. sapiens
0.103404194180271	DNABD	YRI	H. sapiens
0.0991690714526417	DNABD	YRI	H. sapiens
0.150874702680192	DNABD	YRI	H. sapiens
0.17716124395006	DNABD	YRI	H. sapiens
0.0799069206728821	DNABD	YRI	H. sapiens
0.0618921086915123	DNABD	YRI	H. sapiens
0.109938843385551	DNABD	YRI	H. sapiens
0.0887132813118415	DNABD	YRI	H. sapiens
0.0518130209495921	DNABD	YRI	H. sapiens
0.0466546154022136	DNABD	YRI	H. sapiens
0.048646708133147	DNABD	YRI	H. sapiens
0.0680183352592422	DNABD	YRI	H. sapiens
0.064770012894572	DNABD	YRI	H. sapiens
0.0950299095813684	DNABD	YRI	H. sapiens
0.0764344223453014	DNABD	YRI	H. sapiens
0.0823469444667986	DNABD	YRI	H. sapiens
0.0983550126987009	DNABD	YRI	H. sapiens
0.0913210362292803	DNABD	YRI	H. sapiens
0.117225473202186	DNABD	YRI	H. sapiens
0.0680916512394126	DNABD	YRI	H. sapiens
0.0922074044562009	DNABD	YRI	H. sapiens
0.0430376866007748	DNABD	YRI	H. sapiens
0.107842823217163	DNABD	YRI	H. sapiens
0.109812960839922	DNABD	YRI	H. sapiens
0.0746430380040882	DNABD	YRI	H. sapiens
0.0739655862749151	DNABD	YRI	H. sapiens
0.103801620594247	DNABD	YRI	H. sapiens
0.103322546699208	DNABD	YRI	H. sapiens
0.0715322705204801	DNABD	YRI	H. sapiens
0.0580966102445687	DNABD	YRI	H. sapiens
0.0752357207203674	DNABD	YRI	H. sapiens
0.120153931815353	DNABD	YRI	H. sapiens
0.107637615901489	DNABD	YRI	H. sapiens
0.0623994205908507	DNABD	YRI	H. sapiens
0.141876398481265	DNABD	YRI	H. sapiens
0.0714140112541412	DNABD	YRI	H. sapiens
0.103342765675108	DNABD	YRI	H. sapiens
0.0605598605059659	DNABD	YRI	H. sapiens
0.0972103878834459	DNABD	YRI	H. sapiens
0.0720045084666767	DNABD	YRI	H. sapiens
0.109699793556937	DNABD	YRI	H. sapiens
0.0544217779733041	DNABD	YRI	H. sapiens
0.0526110112357871	DNABD	YRI	H. sapiens
0.0495422504658896	DNABD	YRI	H. sapiens
0.0962243529343471	DNABD	YRI	H. sapiens
0.0871497954744936	DNABD	YRI	H. sapiens
0.127860242676406	DNABD	YRI	H. sapiens
0.0901075972202389	DNABD	YRI	H. sapiens
0.0885628922643835	DNABD	YRI	H. sapiens
0.0607134784833029	DNABD	YRI	H. sapiens
0.0984502457230577	DNABD	YRI	H. sapiens
0.182720492558766	DNABD	YRI	H. sapiens
0.0331582439703586	DNABD	YRI	H. sapiens
0.0654597631541022	DNABD	YRI	H. sapiens
0.094872169027859	DNABD	YRI	H. sapiens
0.0906748149680686	DNABD	YRI	H. sapiens
0.0622891535182353	DNABD	YRI	H. sapiens
0.0297248001808527	DNABD	YRI	H. sapiens
0.115324138990621	DNABD	YRI	H. sapiens
0.0788898908853568	DNABD	YRI	H. sapiens
0.0550064124365907	DNABD	YRI	H. sapiens
0.0579140817277033	DNABD	YRI	H. sapiens
0.127998770279323	DNABD	YRI	H. sapiens
0.084413686112996	DNABD	YRI	H. sapiens
0.057637766942429	DNABD	YRI	H. sapiens
0.168893714147158	DNABD	YRI	H. sapiens
0.127136076322226	DNABD	YRI	H. sapiens
0.0538408662195705	DNABD	YRI	H. sapiens
0.134924482197843	DNABD	YRI	H. sapiens
0.0887933416717156	DNABD	YRI	H. sapiens
0.0734113504303694	DNABD	YRI	H. sapiens
0.118789427978452	DNABD	YRI	H. sapiens
0.0830149241409438	DNABD	YRI	H. sapiens
0.0937059439567246	DNABD	YRI	H. sapiens
0.0821278969972342	DNABD	YRI	H. sapiens
0.114801423269434	DNABD	YRI	H. sapiens
0.0979727328191026	DNABD	YRI	H. sapiens
0.105730648488065	DNABD	YRI	H. sapiens
0.0848180239671339	DNABD	YRI	H. sapiens
0.0533611283202447	DNABD	YRI	H. sapiens
